,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENR 1.9,ENR 1.10,ENR 2.1,ENR 2.2,ENR 3.3,ENR 4.1,ENR 4.4,ENR 5.1,ENR 5.2,AD 2,En-route Charts,Aerodrome Charts
-,X,-,X,-,X,X,-,-,-,ENR 6.2,-
-,-,-,-,-,-,X,-,-,-,ENR 6.7,-
-,X,-,X,X,X,X,-,-,-,"ENR 6.8, ENR 6.9",-
-,X,-,-,-,X,X,-,-,-,-,-
-,X,-,X,-,X,X,-,-,-,ENR 6.4,-
-,-,-,X,-,X,X,-,-,-,ENR 6.2,-
-,X,-,X,-,X,X,-,-,-,ENR 6.11,-
-,X,X,-,-,X,X,-,-,-,ENR 6.1,-
-,-,-,X,-,X,X,-,-,-,ENR 6.1,-
-,-,-,X,X,X,X,-,-,-,ENR 6.4,-
-,X,-,X,-,-,X,-,-,-,ENR 6 FRA,-
-,X,-,X,-,-,X,-,-,-,ENR 6.4,-
-,-,-,X,X,X,X,-,-,-,ENR 6.2,-
-,-,-,-,-,X,X,-,-,-,ENR 6.13,-
-,-,-,X,-,X,X,-,-,-,-,-
-,-,X,-,-,X,X,-,-,-,ENR 6.2,-
-,X,-,X,-,X,X,-,-,-,ENR 6 FRA,-
,,,,,,,,,,,
-,-,X,X,-,X,X,X,-,-,-,-
,,,,,,,,,,,
-,X,-,X,-,X,X,-,-,-,ENR 6.1,-
-,-,-,X,-,X,X,-,-,-,"ENR 6.6, ENR 6.7",-
-,X,-,X,-,X,X,-,-,-,ENR 6.1,-
-,-,-,X,-,X,X,-,-,-,ENR 6 FRA,-
-,X,-,X,-,X,X,-,-,-,ENR 6.2,-
-,-,X,-,-,-,X,-,-,-,-,-
-,X,X,X,-,X,X,-,-,-,-,-
-,X,-,X,-,X,X,-,-,-,ENR 6.2,-
-,-,-,X,X,X,X,-,-,-,"ENR 6.7, ENR 6.8",-
-,X,-,X,X,X,X,-,-,-,ENR 6.1,-
-,-,-,-,-,X,X,-,-,-,ENR 6.1,-
-,X,-,X,-,X,X,-,-,-,ENR 6.1,-
-,X,-,X,-,X,X,-,-,-,ENR 6.1,-
-,-,-,X,-,X,X,-,-,-,ENR 6.3,-
-,X,-,X,-,X,X,-,-,-,ENR 6.8,-
-,-,-,X,-,X,X,-,-,-,ENR 6.9,-
-,-,-,X,X,X,X,-,-,-,ENR 6.2,-
-,X,-,X,-,X,X,-,-,-,ENR 6.7,-
-,-,-,-,-,X,X,-,-,-,ENR 6.3,-
-,X,X,X,-,X,X,-,-,-,ENR 6.2,-
-,-,-,X,-,X,X,-,-,-,ENR 6.7,-
